artist,title,year,category,bpm,bar,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
The Meters,Here Comes the Meterman,1969,break,91,10,"k,y",k,yl,k,"sa,yl",k,"k,sa,yl",,"k,sb",,"k,sb",,"k,sb",,"k,sb",
Rufus Thomas,Do the Funky Penguin,1971,break,101,1,"k,h",,"k,h",,"sa,h",,h,k,h,k,"k,h",,"sa,h",,ho,
Rufus Thomas,Do the Funky Penguin,1971,break,101,2,"k,hc",,h,k,"sa,h",,h,k,h,sa,"k,h",k,"sa,h",,ho,
Rufus Thomas,Do the Funky Penguin,1971,break,101,3,"k,hc",,"k,h",,"sa,h",,h,k,h,sa,"k,h",k,"sa,h",,h,sb
Rufus Thomas,Do the Funky Penguin,1971,break,101,4,"k,h",sa,h,k,"sa,h",,"sa,h","k,ho",,sa,"k,ho",sb,sa,sa,sa,sa
Al Green,I'm Glad You're Mine,1972,break,81,1,"k,h",,h,,"r,h",,h,r,h,r,h,k,"r,h",r,h,r
Al Green,I'm Glad You're Mine,1972,break,81,2,h,,"r,h",,"k,h",r,h,k,"r,h",r,ho,,,,ta,
Al Green,I'm Glad You're Mine,1972,break,81,3,"k,hc",,h,k,"r,h",,h,r,"k,h",r,h,k,"r,h",r,h,r
Al Green,I'm Glad You're Mine,1972,break,81,4,h,k,h,,"r,h",,h,r,h,rg,ho,,,,ta,
The Pharcyde,Runnin,1995,break,94,1,"k,h",,h,,"sa,h",,h,,"k,h",k,h,k,"sa,h",,h,
The Pharcyde,Runnin,1995,break,94,2,"k,h",,"k,h",,"sa,h",,h,,h,k,h,k,"sa,h",,h,
The Pharcyde,Runnin,1995,break,94,3,"k,h",,h,,"sa,h",,h,,h,k,h,k,"sa,h",,h,
The Pharcyde,Runnin,1995,break,94,4,h,,"h,k",,"sa,h",,h,k,h,k,h,k,"sa,h",,h,
The Pharcyde,Runnin,1995,break,94,5,"k,h",,h,,"sa,h",,h,k,"k,h",k,h,,"sa,h",,h,k
The Pharcyde,Runnin,1995,break,94,6,"k,h",,h,,"sa,h",,h,k,h,k,h,,"sa,h",,h,
The Pharcyde,Runnin,1995,break,94,7,"k,h",k,h,,"sa,h",k,h,k,"k,h",,h,k,"sa,h",,h,k
The Pharcyde,Runnin,1995,break,94,8,"k,h",,"k,h",,"sa,h",k,h,k,h,,h,k,"sa,h",,h,k
DJ Shadow,Organ Donor,1997,break,110,1,k,,,,k,,,,k,,sa,,sa,,k,sa
DJ Shadow,Organ Donor,1997,break,110,2,"k,h",,h,,"sa,h",,h,k,"k,h",,"k,h",,"sa,h",,h,
DJ Shadow,Organ Donor,1997,break,110,3,"k,h",,h,,"sa,h",,k,sa,h,sa,"k,h",,"sa,h",,h,
DJ Shadow,Organ Donor,1997,break,110,4,"k,h",,h,,"sa,h",,h,k,"k,h",,"k,h",,"sa,h",,h,
DJ Shadow,Organ Donor,1997,break,110,5,"k,h",,"sa,h",,"sa,h",,"k,h",sa,h,sa,"k,h",,"sa,h",,h,
DJ Shadow,Organ Donor,1997,break,110,6,"k,h",,h,,"sa,h",,h,k,"k,h",,"k,h",,"sa,h",,h,k
DJ Shadow,Organ Donor,1997,break,110,7,"sa,h",sa,"k,h",,"sa,h",,h,k,"sa,h",sa,"k,h",,"sa,h",,"sa,h",
DJ Shadow,Organ Donor,1997,break,110,8,"k,h",,h,,"sa,h",,h,k,"k,h",,h,,"sa,h",,h,
DJ Shadow,Organ Donor,1997,break,110,9,"k,h",,"k,h",,h,k,"sa,h",,"sa,h",,"k,h",sa,h,k,"k,h",sa
